A!NET_NAME!REFDES!PIN_NUMBER!FUNC_LOGICAL_PATH!COMP_DEVICE_TYPE!FUNC_SCH_SIZE!FUNC_HAS_FIXED_SIZE!FUNC_DES!PIN_CDS_PINID!PIN_TERMINATION!PIN_TERM_IDENT!PIN_NET_SHORT!
J!C:/Users/Jimmy-X/Desktop/¶ÌÑ§ÆÚ/designer/worklib/52/physical/pcb.brd!Sat Jul 17 19:21:18 2021!0.00!0.00!21000.00!17000.00!0.01!mils!52!10.400000 mil!2!OUT OF DATE!
S!GND!AT1!1!@\52_lib\.\52\(sch_1):page1_i81@\52_lib\.at24c02(chips)!AT24C02-43010006,AT24C02!!!F33!A0!!!!
S!GND!AT1!2!@\52_lib\.\52\(sch_1):page1_i81@\52_lib\.at24c02(chips)!AT24C02-43010006,AT24C02!!!F33!A1!!!!
S!GND!AT1!3!@\52_lib\.\52\(sch_1):page1_i81@\52_lib\.at24c02(chips)!AT24C02-43010006,AT24C02!!!F33!A2!!!!
S!GND!AT1!4!@\52_lib\.\52\(sch_1):page1_i81@\52_lib\.at24c02(chips)!AT24C02-43010006,AT24C02!!!F33!GND!!!!
S!SCL!AT1!6!@\52_lib\.\52\(sch_1):page1_i81@\52_lib\.at24c02(chips)!AT24C02-43010006,AT24C02!!!F33!SCL!!!!
S!SDA!AT1!5!@\52_lib\.\52\(sch_1):page1_i81@\52_lib\.at24c02(chips)!AT24C02-43010006,AT24C02!!!F33!SDA!!!!
S!VCC!AT1!8!@\52_lib\.\52\(sch_1):page1_i81@\52_lib\.at24c02(chips)!AT24C02-43010006,AT24C02!!!F33!VCC!!!!
S!GND!AT1!7!@\52_lib\.\52\(sch_1):page1_i81@\52_lib\.at24c02(chips)!AT24C02-43010006,AT24C02!!!F33!WP!!!!
S!UNNAMED_1_BJTPNP_I84_1!BJT1!1!@\52_lib\.\52\(sch_1):page1_i84@\52_lib\.bjt_pnp(chips)!BJT_PNP-15050001,BJT_PNP!!!F32!\1\!!!!
S!UNNAMED_1_BJTPNP_I84_2!BJT1!2!@\52_lib\.\52\(sch_1):page1_i84@\52_lib\.bjt_pnp(chips)!BJT_PNP-15050001,BJT_PNP!!!F32!\2\!!!!
S!GND!BJT1!3!@\52_lib\.\52\(sch_1):page1_i84@\52_lib\.bjt_pnp(chips)!BJT_PNP-15050001,BJT_PNP!!!F32!\3\!!!!
